LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
3213202001 - TELKOM ACI GD. A - OFFICE,3213202001,TELKOM ACI GD. A,JAWA BARAT,TR3,"JL. HEGARMANAH TENGAH NO. 71, RT. 001/008, KEL. HEGARMANAH, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 3,"1,541.92",AKTIF,,,ID001922
3213203702 - GT SEKAR - OFFICE,3213203702,GT SEKAR,JAWA BARAT,TR3,"JL. WANGSAREJA NO.5, PALEDANG, KEC. LENGKONG, KOTA BANDUNG",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 3,162.83,AKTIF,,,ID001932
3213200102 - PLASA SUPRATMAN - OFFICE,3213200102,PLASA SUPRATMAN,JAWA BARAT,TR3,"JL. SUPRATMAN NO. 62 , RT. 04/03, KEL. CIHAURGEULIS, KEC. CIBEUNYING KALER, KAB. BANDUNG",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,201.62,AKTIF,,,ID001874
3213200104 - GEDUNG KOSONG PLASA SUPRATMAN - IDLE,3213200104,GEDUNG KOSONG PLASA SUPRATMAN,JAWA BARAT,TR3,"JL. SUPRATMAN NO. 66 A, RT. 04/03, KEL. CIHAURGEULIS, KEC. CIBEUNYING KALER, KAB. BANDUNG",IDLE,KOTA BANDUNG,BANDUNG,KELAS 4,883.61,AKTIF,,,ID001876
3213200202 - ARNET AHMAD YANI - OFFICE,3213200202,ARNET AHMAD YANI,JAWA BARAT,TR3,"JL. AHMAD YANI NO. 698, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,339.60,AKTIF,,,ID001879
3213200401D - GMP BANDUNG - OFFICE,3213200401D,GMP BANDUNG,JAWA BARAT,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,"1,976.41",AKTIF,,,ID001887
3213200401E - GMP BANDUNG - RUANG IBADAH,3213200401E,GMP BANDUNG,JAWA BARAT,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",RUANG IBADAH,KOTA BANDUNG,BANDUNG,KELAS 4,"1,461.51",AKTIF,,,ID001888
3213200404 - GEDUNG KOSONG GMP BANDUNG - IDLE,3213200404,GEDUNG KOSONG GMP BANDUNG,JAWA BARAT,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",IDLE,KOTA BANDUNG,BANDUNG,KELAS 4,"1,448.66",AKTIF,,,ID001891
3213200701 - PLASA SUMEDANG - OFFICE,3213200701,PLASA SUMEDANG,JAWA BARAT,TR3,"JL. PRABU GEUTAN ULUN NO. 5, KEL. KOTA KULON, KEC. SUMEDANG SELATAN, KAB. SUMEDANG",OFFICE,KAB. SUMEDANG,BANDUNG,KELAS 4,46.76,AKTIF,,,ID001893
3213200703 - GEDUNG KOSONG PLASA SUMEDANG - IDLE,3213200703,GEDUNG KOSONG PLASA SUMEDANG,JAWA BARAT,TR3,"JL. PRABU GEUTAN ULUN NO. 5, KEL. KOTA KULON, KEC. SUMEDANG SELATAN, KAB. SUMEDANG",IDLE,KAB. SUMEDANG,BANDUNG,KELAS 4,245.35,AKTIF,,,ID001895
3213200801 - RUMDIN TENGKU ANGKASA - OFFICE,3213200801,RUMDIN TENGKU ANGKASA,JAWA BARAT,TR3,JL. TENGKU ANGKASA BANDUNG,OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,444.35,TIDAK AKTIF,,,ID001896
3213201001 - PLASA / STO CIJAURA - OFFICE,3213201001,PLASA / STO CIJAURA,JAWA BARAT,TR3,"JL. CIWASTRA NO. 245, KEL. MARGASARI, KEC. MARGACINTA, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,550.23,AKTIF,,,ID001900
3213201002 - GEDUNG KOSONG CIJAURA - IDLE,3213201002,GEDUNG KOSONG CIJAURA,JAWA BARAT,TR3,"JL. CIWASTRA NO. 245, KEL. MARGASARI, KEC. MARGACINTA, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,117.78,AKTIF,,,ID001901
3213201101 - STO HEGARMANAH - OFFICE,3213201101,STO HEGARMANAH,JAWA BARAT,TR3,"JL. SETIABUDI NO. 32, GEGERKALONG, SUKASARI, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,298.82,AKTIF,,,ID001903
3213201201 - PLASA / STO KOPO - OFFICE,3213201201,PLASA / STO KOPO,JAWA BARAT,TR3,"JL. KOPO SAYATI NO. 182, RT. 05/03, KEL. MARGAHAYU, KEC. MARGAHAYU, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,684.27,AKTIF,,,ID001905
3213201202 - GEDUNG KOSONG KOPO - IDLE,3213201202,GEDUNG KOSONG KOPO,JAWA BARAT,TR3,"JL. KOPO SAYATI NO. 182, RT. 05/03, KEL. MARGAHAYU, KEC. MARGAHAYU, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,174.82,AKTIF,,,ID001906
3213201301 - STO SADANG SERANG - OFFICE,3213201301,STO SADANG SERANG,JAWA BARAT,TR3,"JL. SADANG SARI NO. 5, COMBLONG, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,599.24,AKTIF,,,ID001908
3213201401 - STO SUMEDANG - OFFICE,3213201401,STO SUMEDANG,JAWA BARAT,TR3,"JL. R.A. KARTINI NO. 05, RT. 04/05, KEL. REGOL WETAN, KEC. SUMEDANG SELATAN, KAB. SUMEDANG",OFFICE,KAB. SUMEDANG,BANDUNG,KELAS 4,339.68,AKTIF,,,ID001909
3213201501 - STO TANJUNGSARI - OFFICE,3213201501,STO TANJUNGSARI,JAWA BARAT,TR3,"JL. RAYA TANJUNG SARI NO. 186, KEC. TANJUNG SARI -SUMEDANG, KAB. SUMEDANG",OFFICE,KAB. SUMEDANG,BANDUNG,KELAS 4,262.71,AKTIF,,,ID001911
3213201601 - STO TEGALEGA - OFFICE,3213201601,STO TEGALEGA,JAWA BARAT,TR3,"JL. MOHAMMAD TOHA NO. 220, TEGALEGA - ASTANA ANYAR, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,705.96,AKTIF,,,ID001913
3213201602 - GEDUNG KOSONG TEGALEGA - IDLE,3213201602,GEDUNG KOSONG TEGALEGA,JAWA BARAT,TR3,"JL. MOHAMMAD TOHA NO. 220, TEGALEGA - ASTANA ANYAR, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,8.63,AKTIF,,,ID001914
3213201701 - STO TURANGGA - OFFICE,3213201701,STO TURANGGA,JAWA BARAT,TR3,"JL. MAS KUMAMBANG NO. 4, KEL. TURANGGA, KEC. LENGKONG, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,895.35,AKTIF,,,ID001916
3213201801 - STO UJUNG BERUNG - OFFICE,3213201801,STO UJUNG BERUNG,JAWA BARAT,TR3,"JL. A.H. NASUTION KM 12,5, RT. 03/06, KEL. CIPADUNG KULON, KEC. PANYEULELEAN, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,519.01,AKTIF,,,ID001917
3213201802 - PLASA UJUNG BERUNG - OFFICE,3213201802,PLASA UJUNG BERUNG,JAWA BARAT,TR3,"JL. A.H. NASUTION KM 12,5, RT. 03/06, KEL. CIPADUNG KULON, KEC. PANYEULELEAN, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,134.25,AKTIF,,,ID001918
3213201803 - GEDUNG KOSONG PLASA UJUNG BERUNG - IDLE,3213201803,GEDUNG KOSONG PLASA UJUNG BERUNG,JAWA BARAT,TR3,"JL. A.H. NASUTION KM 12,5, RT. 03/06, KEL. CIPADUNG KULON, KEC. PANYEULELEAN, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,12.45,AKTIF,,,ID001919
3213201804 - GEDUNG KOSONGSTO UJUNG BERUNG - IDLE,3213201804,GEDUNG KOSONGSTO UJUNG BERUNG,JAWA BARAT,TR3,"JL. A.H. NASUTION KM 12,5, RT. 03/06, KEL. CIPADUNG KULON, KEC. PANYEULELEAN, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,125.23,AKTIF,,,ID001920
3213202301 - TELKOM DHARMA WANITA - OFFICE,3213202301,TELKOM DHARMA WANITA,JAWA BARAT,TR3,"JL. WR. SUPRATMAN NO. 48, KEL. CIHAURGEULIS, KEC. CIBEUNYING KALER, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,621.49,AKTIF,,,ID001925
3213202403 - GT WAHIDIN - IDLE,3213202403,GT WAHIDIN,JAWA BARAT,TR3,JL. WAHIDIN NO.5 BANDUNG,IDLE,KOTA BANDUNG,BANDUNG,KELAS 4,659.01,AKTIF,,,ID001927
3213202503 - GEDUNG KOSONG WITEL BANDUNG - IDLE,3213202503,GEDUNG KOSONG WITEL BANDUNG,JAWA BARAT,TR3,"JL. LEMBONG NO. 11/15, RT. 02/05, KEL. BRAGA, KEC. SUMUR BANDUNG, KAB. BANDUNG",IDLE,KOTA BANDUNG,BANDUNG,KELAS 4,205.82,AKTIF,,,ID001930
3213204703 - GT BENGAWAN 81 - OFFICE,3213204703,GT BENGAWAN 81,JAWA BARAT,TR3,"JL. BENGAWAN NO. 81, BANDUNG",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,344.64,AKTIF,,,ID001934
3213205201 - STO / PLASA GEGER KALONG - OFFICE,3213205201,STO / PLASA GEGER KALONG,JAWA BARAT,TR3,"JL. GEGER KALONG HILIR NO. 55, RT. 03/01, KEL. SUKARASA, KEC. SUKASARI, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,717.78,AKTIF,,,ID001936
3213205231 - GEDUNG KOSONG STO GEGERKALONG - IDLE,3213205231,GEDUNG KOSONG STO GEGERKALONG,JAWA BARAT,TR3,"JL. GEGER KALONG HILIR NO. 55, RT. 03/01, KEL. SUKARASA, KEC. SUKASARI, BANDUNG KOTA",IDLE,KOTA BANDUNG,BANDUNG,KELAS 4,282.80,AKTIF,,,ID001965
3223200101 - WITEL BANDUNG BARAT - OFFICE,3223200101,WITEL BANDUNG BARAT,JAWA BARAT,TR3,"JL. RAJAWALI BARAT NO. 101, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,"1,404.03",AKTIF,,,ID001971
3223200103 - GEDUNG KOSONG WITEL BANDUNG BARAT - IDLE,3223200103,GEDUNG KOSONG WITEL BANDUNG BARAT,JAWA BARAT,TR3,"JL. RAJAWALI BARAT NO. 101, KAB. BANDUNG BARAT",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,155.88,AKTIF,,,ID001973
3223200201 - EKS CATEL PANGALENGAN - OFFICE,3223200201,EKS CATEL PANGALENGAN,JAWA BARAT,TR3,"JL. RAYA PANGALENGAN NO. 344, RT. 01/07, KEL. PANGALENGAN, KEC. PANGALENGAN, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,350.33,AKTIF,,,ID001974
3223200301 - PLASA / EKS CATEL PADALARANG - OFFICE,3223200301,PLASA / EKS CATEL PADALARANG,JAWA BARAT,TR3,"JL. PADALARANG CIBURUY NO. 217, RT. 04/15, KEL. CIBURUY, KEC. PADALARANG, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,383.97,AKTIF,,,ID001976
3223200302 - GEDUNG KOSONG PADALARANG - IDLE,3223200302,GEDUNG KOSONG PADALARANG,JAWA BARAT,TR3,"JL. PADALARANG CIBURUY NO. 217, RT. 04/15, KEL. CIBURUY, KEC. PADALARANG, KAB. BANDUNG BARAT",IDLE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,130.07,AKTIF,,,ID001977
3223200601 - PLASA BAROS - OFFICE,3223200601,PLASA BAROS,JAWA BARAT,TR3,"JL. GATOT SUBROTO NO. 3, CIMAHI KOTA",OFFICE,KOTA CIMAHI,BANDUNG,KELAS 4,189.70,AKTIF,,,ID001981
3223200801 - PLASA / STO BANJARAN - OFFICE,3223200801,PLASA / STO BANJARAN,JAWA BARAT,TR3,"JL. RAYA BANJARAN NO. 407, RT. 02/01, KEL. ARJASARI, KEC. BANJARAN, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,510.89,AKTIF,,,ID001984
3223200901 - STO BATUJAJAR - OFFICE,3223200901,STO BATUJAJAR,JAWA BARAT,TR3,"JL. RAYA BATUJAJAR NO. 91, RT. 01/07, KEL. GIRI ASIH, KEC. BATUJAJAR, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,286.60,AKTIF,,,ID001985
3223200902 - GEDUNG KOSONG BATUJAJAR - IDLE,3223200902,GEDUNG KOSONG BATUJAJAR,JAWA BARAT,TR3,"JL. RAYA BATUJAJAR NO. 91, RT. 01/07, KEL. GIRI ASIH, KEC. BATUJAJAR, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,112.42,AKTIF,,,ID001986
3223201001 - STO CICALENGKA - OFFICE,3223201001,STO CICALENGKA,JAWA BARAT,TR3,"JL. DIPATI UKUR NO. 37, KEL. CICALENGKA, KEC. CICALENGKA, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,320.48,AKTIF,,,ID001987
3223201002 - GEDUNG KOSONG CICALENGKA - IDLE,3223201002,GEDUNG KOSONG CICALENGKA,JAWA BARAT,TR3,"JL. DIPATI UKUR NO. 37, KEL. CICALENGKA, KEC. CICALENGKA, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,84.11,AKTIF,,,ID001988
3223201101 - STO CIHALIWUNG - OFFICE,3223201101,STO CIHALIWUNG,JAWA BARAT,TR3,"JL. CIHALIWUNG NO. 1, KEL. KERTAMULYA, KEC. PADALARANG, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,85.07,AKTIF,,,ID001989
3223201102 - GEDUNG KOSONG CIHALIWUNG - IDLE,3223201102,GEDUNG KOSONG CIHALIWUNG,JAWA BARAT,TR3,"JL. CIHALIWUNG NO. 1, KEL. KERTAMULYA, KEC. PADALARANG, KAB. BANDUNG BARAT",IDLE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,85.61,AKTIF,,,ID001990
3223201201 - STO CIKALONG WETAN - OFFICE,3223201201,STO CIKALONG WETAN,JAWA BARAT,TR3,"JL.RAYA PURWAKARTA NO. 501, CIKALONG WETAN",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,175.21,AKTIF,,,ID001991
3223201301 - STO CILILIN - OFFICE,3223201301,STO CILILIN,JAWA BARAT,TR3,"JL. CILILIN SINDANG KERTA KM. 5,RT. 04/02, KEL. MUKA PAYUNG, KEC. CILILIN, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,207.32,AKTIF,,,ID001992
3223201302 - GEDUNG KOSONG CILILIN - IDLE,3223201302,GEDUNG KOSONG CILILIN,JAWA BARAT,TR3,"JL. CILILIN SINDANG KERTA KM. 5,RT. 04/02, KEL. MUKA PAYUNG, KEC. CILILIN, KAB. BANDUNG BARAT",IDLE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,15.79,AKTIF,,,ID001993
3223201401 - STO CIMAHI - OFFICE,3223201401,STO CIMAHI,JAWA BARAT,TR3,"JL. AMIR MAHMUD NO. 127, KEL. KARANG MEKAR, KEC. CIMAHI TENGAH, CIMAHI KOTA",OFFICE,KOTA CIMAHI,BANDUNG,KELAS 4,408.62,AKTIF,,,ID001995
3223201402 - GEDUNG KOSONG STO CIMAHI - IDLE,3223201402,GEDUNG KOSONG STO CIMAHI,JAWA BARAT,TR3,"JL. AMIR MAHMUD NO. 127, KEL. KARANG MEKAR, KEC. CIMAHI TENGAH, CIMAHI KOTA",IDLE,KOTA CIMAHI,BANDUNG,KELAS 4,71.66,AKTIF,,,ID001996
3223201501 - STO CIPATAT - OFFICE,3223201501,STO CIPATAT,JAWA BARAT,TR3,"JL. CIPATAT KM 33 NO. 006, RT. 01/11, KEL. CIPATAT, KEC. CIPATAT, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,219.89,AKTIF,,,ID001998
3223201601 - STO CISARUA - OFFICE,3223201601,STO CISARUA,JAWA BARAT,TR3,"JL. RAYA LEMBANG NO. 259, RT. 01/02, KEL. JAYA GIRI, KEC. LEMBANG,, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,346.31,AKTIF,,,ID001999
3223201701 - STO CIWIDEY - OFFICE,3223201701,STO CIWIDEY,JAWA BARAT,TR3,"JL. BHAYANGKARA NO. 9, RT. 01/15, KEL. CIWIDEY, KEC. CIWIDEY, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,269.98,AKTIF,,,ID002000
3223201703 - GEDUNG KOSONG CIWIDEY - IDLE,3223201703,GEDUNG KOSONG CIWIDEY,JAWA BARAT,TR3,"JL. BHAYANGKARA NO. 9, RT. 01/15, KEL. CIWIDEY, KEC. CIWIDEY, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,6.65,AKTIF,,,ID002002
3223201801 - STO GUNUNG HALU - OFFICE,3223201801,STO GUNUNG HALU,JAWA BARAT,TR3,"JL. RAYA GUNUNG HALU, KEL. SIRNA JAYA, KEC. GUNUNG HALU, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,63.67,AKTIF,,,ID002003
3223201901 - STO LEMBANG - OFFICE,3223201901,STO LEMBANG,JAWA BARAT,TR3,"JL. RAYA LEMBANG NO. 259, RT. 01/02, KEL. JAYA GIRI, KEC. LEMBANG,, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,310.13,AKTIF,,,ID002004
3223202001 - STO MAJALAYA - OFFICE,3223202001,STO MAJALAYA,JAWA BARAT,TR3,"JL. LASWI NO. 137, RT. 03/04, KEL. KEL.SUKAMAJU, KEC. MAJALAYA, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,313.99,AKTIF,,,ID002007
3223202002 - GEDUNG KOSONG MAJALAYA - IDLE,3223202002,GEDUNG KOSONG MAJALAYA,JAWA BARAT,TR3,"JL. LASWI NO. 137, RT. 03/04, KEL. KEL.SUKAMAJU, KEC. MAJALAYA, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,65.92,AKTIF,,,ID002008
3223202101 - STO NANJUNG - OFFICE,3223202101,STO NANJUNG,JAWA BARAT,TR3,"JL. MENCUT NO. 2, RT. 03/03, KEL. RAGADAR, KEC. MARGA ASIH, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,503.95,AKTIF,,,ID002010
3223202201 - PLASA / STO RANCAEKEK - OFFICE,3223202201,PLASA / STO RANCAEKEK,JAWA BARAT,TR3,"JL. RAYA BANDUNG - GARUT KM 20,9, RT. 03/01, KEL. BOJONG LOA, KEC. RANCAEKEK, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,205.75,AKTIF,,,ID002011
3223202202 - GEDUNG KOSONG RANCAEKEK - IDLE,3223202202,GEDUNG KOSONG RANCAEKEK,JAWA BARAT,TR3,"JL. RAYA BANDUNG - GARUT KM 20,9, RT. 03/01, KEL. BOJONG LOA, KEC. RANCAEKEK, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,233.71,AKTIF,,,ID002012
3223202301 - PLASA / STO SOREANG - OFFICE,3223202301,PLASA / STO SOREANG,JAWA BARAT,TR3,"JL. TERUSAN CIPATIK KM. 17 NO. 1, SOREANG, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,266.56,AKTIF,,,ID002013
3223202303 - GEDUNG KOSONG SOREANG - IDLE,3223202303,GEDUNG KOSONG SOREANG,JAWA BARAT,TR3,"JL. TERUSAN CIPATIK KM. 17 NO. 1, SOREANG, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,150.68,AKTIF,,,ID002015
3223202801 - MESS PALAPA SOREANG - OFFICE,3223202801,MESS PALAPA SOREANG,JAWA BARAT,TR3,"JL. SOREANG - CIWIDEY NO.400, KAB. SOREANG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,61.46,AKTIF,,,ID002019
3223202803 - GEDUNG KOSONG PALAPA SOREANG - IDLE,3223202803,GEDUNG KOSONG PALAPA SOREANG,JAWA BARAT,TR3,"JL. SOREANG - CIWIDEY NO.400, KAB. SOREANG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,507.70,AKTIF,,,ID002021
3213205201A - STO / PLASA GEGER KALONG - IDLE,3213205201A,STO / PLASA GEGER KALONG,JAWA BARAT,TR3,"JL. GEGER KALONG HILIR NO. 55, RT. 03/01, KEL. SUKARASA, KEC. SUKASARI, BANDUNG KOTA",IDLE,KOTA BANDUNG,BANDUNG,KELAS 4,60.42,AKTIF,,,ID004812
3223200301A - PLASA / EKS CATEL PADALARANG - IDLE,3223200301A,PLASA / EKS CATEL PADALARANG,JAWA BARAT,TR3,"JL. PADALARANG CIBURUY NO. 217, RT. 04/15, KEL. CIBURUY, KEC. PADALARANG, KAB. BANDUNG BARAT",IDLE,KAB. BANDUNG BARAT,BANDUNG,KELAS 4,183.48,AKTIF,,,ID004813
3213200103 - GUDANG PLASA SUPRATMAN - GUDANG,3213200103,GUDANG PLASA SUPRATMAN,JAWA BARAT,TR3,"JL. SUPRATMAN NO. 62 , RT. 04/03, KEL. CIHAURGEULIS, KEC. CIBEUNYING KALER, KAB. BANDUNG",GUDANG,KOTA BANDUNG,BANDUNG,KELAS 5,114.61,AKTIF,,,ID001875
3213200201 - GUDANG ARNET AHMAD YANI - GUDANG,3213200201,GUDANG ARNET AHMAD YANI,JAWA BARAT,TR3,"JL. AHMAD YANI NO. 698, BANDUNG KOTA",GUDANG,KOTA BANDUNG,BANDUNG,KELAS 5,20.84,AKTIF,,,ID001878
