LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
3213205222 - GEDUNG G KELAS - OFFICE,3213205222,GEDUNG G KELAS,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 3,"1,232.00",AKTIF,ID001956
3213205224 - GEDUNG INNOVATION CENTER - OFFICE,3213205224,GEDUNG INNOVATION CENTER,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 3,"1,142.00",AKTIF,ID001958
3213205235 - IDEC BANDUNG GD. OASIS - OFFICE,3213205235,IDEC BANDUNG GD. OASIS,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 3,907.11,AKTIF,ID001968
3213205209 - GEDUNG R3 EXTENTION - OFFICE,3213205209,GEDUNG R3 EXTENTION,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 4,"1,348.02",AKTIF,ID001944
3213205213 - GEDUNG OLAHRAGA - OFFICE,3213205213,GEDUNG OLAHRAGA,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 4,"3,338.07",AKTIF,ID001948
3213205218 - GEDUNG IBADAH MESJID DARUL IHSAN - IBADAH,3213205218,GEDUNG IBADAH MESJID DARUL IHSAN,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",IBADAH,KOTA BANDUNG,KAWASAN CORPU,KELAS 4,"1,752.00",AKTIF,ID001952
3213205220 - GEDUNG E LABORATORIUM & CATUDAYA - OFFICE,3213205220,GEDUNG E LABORATORIUM & CATUDAYA,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 4,"1,203.00",AKTIF,ID001954
3213205225 - GEDUNG KOSONG LEARNING CENTER BANDUNG - IDLE,3213205225,GEDUNG KOSONG LEARNING CENTER BANDUNG,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",IDLE,KOTA BANDUNG,KAWASAN CORPU,KELAS 4,246.60,AKTIF,ID001959
3213205236 - GEDUNG KOSONG GD. UTAMA - IDLE,3213205236,GEDUNG KOSONG GD. UTAMA,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",IDLE,KOTA BANDUNG,KAWASAN CORPU,KELAS 4,33.62,AKTIF,ID001969
3213205210 - GEDUNG POOL KBM - OFFICE,3213205210,GEDUNG POOL KBM,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 5,175.00,AKTIF,ID001945
3213205212 - GEDUNG HYDRO WATER TANK - OFFICE,3213205212,GEDUNG HYDRO WATER TANK,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 5,272.00,AKTIF,ID001947
3213205219 - GEDUNG LAPANGAN TEMBAK - OFFICE,3213205219,GEDUNG LAPANGAN TEMBAK,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 5,934.01,AKTIF,ID001953
3213205226 - GUDANG GEDUNG K KELAS EXT 1 - GUDANG,3213205226,GUDANG GEDUNG K KELAS EXT 1,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",GUDANG,KOTA BANDUNG,KAWASAN CORPU,KELAS 5,261.00,AKTIF,ID001960
3213205227 - GUDANG GEDUNG K KELAS EXT 2 - GUDANG,3213205227,GUDANG GEDUNG K KELAS EXT 2,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",GUDANG,KOTA BANDUNG,KAWASAN CORPU,KELAS 5,332.00,AKTIF,ID001961
3213205230 - GUDANG RUMAH DINAS 5 ADMINISTRASI - GUDANG,3213205230,GUDANG RUMAH DINAS 5 ADMINISTRASI,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",GUDANG,KOTA BANDUNG,KAWASAN CORPU,KELAS 5,20.92,AKTIF,ID001964
3213205237 - GUDANG GD. UTAMA - GUDANG,3213205237,GUDANG GD. UTAMA,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",GUDANG,KOTA BANDUNG,KAWASAN CORPU,KELAS 5,227.50,AKTIF,ID001970
